epoch,train_loss,val_auc,val_acc,val_f1
1,0.18660776027873813,0.9994416277777777,0.9681481481481482,0.9672418000567916
2,0.06330628416848853,0.9994122861394557,0.965925925925926,0.9655945373390018
3,0.04043428088971114,0.999058944798753,0.9722222222222222,0.9715379624233537
4,0.03704477061799021,0.9993835464852608,0.970925925925926,0.9701153299395955
5,0.037141590458783166,0.9994147172619048,0.9727777777777777,0.9711988439348911
6,0.026786849232791968,0.9992844247732424,0.9774074074074074,0.976171894975286
7,0.024159955851136932,0.9995961287981858,0.9762962962962963,0.9753282727003519
8,0.02329045936571928,0.9993617925453515,0.9661111111111111,0.965604582318129
9,0.019508544556932367,0.9980495903344672,0.9492592592592592,0.9464544062404491
10,0.02271973300011316,0.999106257851474,0.9746296296296296,0.9733817294136499
